dataset,set,sampled_duration_minutes,duration_annotated_minutes
thomas,cha,24510.76,15.58
winnipeg,eaf/an1,300.0,3.8
winnipeg,eaf/reliability,9.0,4.63
winnipeg,eaf_hv,168.0,0.73
tseltal2015,eaf_2015,395.85,18.4
tseltal2015,eaf_2015/reliability,10.0,0.0
lyon,eaf_2025_May/AD,145.0,0.69
lyon,eaf_2025_May/CK,260.0,1.01
lyon,eaf_2025_May/CR,205.0,0.76
lyon,eaf_2025_May/EC,265.0,1.17
lyon,eaf_2025_May/FB,140.0,0.99
lyon,eaf_2025_May/LD,135.0,0.87
lyon,eaf_2025_May/LQ,205.0,0.38
lyon,eaf_2025_May/PT,260.0,2.11
lyon,eaf_2025_May/SC,210.0,0.88
lyon,textgrid/gl,1080.0,256.5
cougar,cha/an1,780.0,0.2
cougar,eaf_2023/AM,390.0,0.0
cougar,eaf_2023/AM,390.0,0.0
cougar,eaf_2025_May/AD,70.0,0.69
cougar,eaf_2025_May/CC,10.0,0.07
cougar,eaf_2025_May/HA,220.0,3.23
cougar,eaf_2025_May/LQ,190.0,0.03
providence,cha,20929.8,16821.4
lucid,eaf/an1,300.0,8.97
lucid,eaf/reliability,10.0,0.26
lucid,eaf_hv,300.0,19.06
tsay,cha,8208.59,2691.29
warlaumont,eaf/an1,302.0,0.06
warlaumont,eaf/reliability,10.0,5.92
warlaumont,eaf_hv,212.0,115.86
bergelson,eaf/an1,302.0,0.19
bergelson,eaf/reliability,10.0,0.0
bergelson,eaf_high_volubility,300.0,2.31
tsimane2017,eaf_2024/DFGB,486.0,89.07
tsimane2017,textgrid/mm,541.0,139.0
png2016,eaf_2016,374.23,22.29
png2016,eaf_2016/reliability,10.0,0.0
soderstrom,cha,1559.82,92.71
